time,connect,request 
0,12.916,323.085 
10,12.916,323.085 
20,12.916,323.085 
30,12.916,323.085 
40,12.916,323.085 
50,12.916,323.085 
60,12.916,347.251 
70,12.916,347.251 
80,12.916,423.665 
90,12.916,423.665 
100,12.916,423.665 
110,12.916,423.665 
120,21.928,423.665 
130,21.928,607.82 
140,21.928,789.316 
150,21.928,1010.816 
160,21.928,1010.816 
170,21.928,1305.414 
180,21.928,1994.526 
190,21.928,1994.526 
200,21.928,2545.736 
210,21.928,2622.243 
220,21.928,2622.243 
230,21.928,3038.984 
236,21.928,4129.795 
