time,size_sent,size_rcv 
0,31.53359375,1504.3578125 
10,37.678125,1848.828125 
20,33.39765625,1795.28046875 
30,25.696875,1437.71484375 
40,22.671875,1307.13046875 
50,41.5640625,2546.22421875 
60,30.56640625,1960.1953125 
70,35.72421875,2477.215625 
80,53.584375,3793.89921875 
90,35.78515625,2667.42734375 
100,40.06328125,3165.5515625 
110,49.65390625,4129.40859375 
120,54.4328125,4784.34140625 
130,53.06171875,4902.3546875 
140,52.278125,5439.43203125 
150,51.93203125,4956.06875 
160,67.3640625,7236.60078125 
170,70.01015625,8176.7234375 
180,77.38984375,9055.84375 
190,72.42890625,9928.89296875 
200,85.18828125,11179.1265625 
210,84.54296875,11383.51171875 
220,76.44609375,11450.86953125 
230,61.17265625,11352.36015625 
236,38.68359375,4181.0671875 
