time,size_sent,size_rcv 
0,31.53359375,1504.3578125 
10,69.21171875,3353.1859375 
20,102.609375,5148.46640625 
30,128.30625,6586.18125 
40,150.978125,7893.31171875 
50,192.5421875,10439.5359375 
60,223.10859375,12399.73125 
70,258.8328125,14876.946875 
80,312.4171875,18670.84609375 
90,348.20234375,21338.2734375 
100,388.265625,24503.825 
110,437.91953125,28633.23359375 
120,492.35234375,33417.575 
130,545.4140625,38319.9296875 
140,597.6921875,43759.36171875 
150,649.62421875,48715.43046875 
160,716.98828125,55952.03125 
170,786.9984375,64128.7546875 
180,864.38828125,73184.5984375 
190,936.8171875,83113.49140625 
200,1022.00546875,94292.61796875 
210,1106.5484375,105676.1296875 
220,1182.99453125,117126.99921875 
230,1244.1671875,128479.359375 
236,1282.85078125,132660.4265625 
