time,match 
0,7.8 
10,9.4 
20,8.4 
30,6.4 
40,5.6 
50,10.4 
60,7.5 
70,9 
80,13.3 
90,9 
100,10 
110,12.4 
120,13.6 
130,13.1 
140,13 
150,13.1 
160,16.8 
170,17.3 
180,19.5 
190,17.7 
200,21.2 
210,21.5 
220,19 
230,14.3 
236,10.7 
