time,page 
0,102.30592307692307 
10,95.08370212765958 
20,93.12519047619048 
30,91.91637500000002 
40,95.88435714285717 
50,117.41773076923076 
60,123.18964864864867 
70,108.67160000000001 
80,133.3564925373135 
90,105.29866666666668 
100,128.01673999999997 
110,121.67491935483869 
120,157.71141176470587 
130,163.60947692307698 
140,195.69356250000004 
150,253.74591044776108 
160,284.69813095238095 
170,468.2617999999999 
180,875.4307575757575 
190,714.3644302325579 
200,1470.6752803738314 
210,1105.8136972477062 
220,1094.6580526315786 
230,1631.1064999999999 
236,2530.495847457628 
