time,session 
0,203.12150000000003 
10,204.5801923076923 
20,174.08468421052632 
30,186.66373333333337 
40,207.85870588235295 
50,232.40304347826088 
60,251.08325 
70,215.09190909090904 
80,267.43139393939396 
90,216.17159090909084 
100,258.24088000000006 
110,245.54058064516138 
120,317.64758823529417 
130,323.4194411764706 
140,418.1220625 
150,500.01493750000014 
160,571.6459523809526 
170,928.434095238095 
180,1753.71034 
190,1409.1921904761907 
200,2961.3277735849065 
210,2206.105339285714 
220,2169.5225000000023 
230,2869.350857142857 
236,5197.567617647059 
