time,match 
0,76 
10,124 
20,200 
30,260 
40,356 
50,420 
60,532 
70,652 
80,764 
90,884 
100,1020 
110,1152 
120,1272 
130,1448 
140,1620 
150,1770 
160,1900 
170,2064 
180,2272 
190,2416 
200,2591 
210,2773 
220,2989 
230,3148 
238,3320 
