time,match 
0,7.6 
10,4.8 
20,7.6 
30,6 
40,9.6 
50,6.4 
60,11.2 
70,12 
80,11.2 
90,12 
100,13.6 
110,13.2 
120,12 
130,17.6 
140,17.2 
150,15 
160,13 
170,16.4 
180,20.8 
190,14.4 
200,17.5 
210,18.2 
220,21.6 
230,15.9 
238,17.2 
