time,session 
0,223.5801052631579 
10,159.7900769230769 
20,152.8148333333333 
30,188.42375000000004 
40,172.06866666666667 
50,187.68156249999998 
60,194.55225000000002 
70,216.26899999999998 
80,196.36089285714283 
90,276.43258620689653 
100,267.69897142857144 
110,318.06554545454543 
120,282.32506896551735 
130,389.2406363636364 
140,357.92858139534883 
150,561.6373684210524 
160,328.97463636363636 
170,809.3405277777774 
180,1075.6531964285716 
190,498.95397222222226 
200,1471.2142631578945 
210,6547.842230769231 
220,4487.1804603174605 
230,5395.744303030304 
238,8062.371735849054 
