time,size_sent,size_rcv 
0,30.47265625,1428.53125 
10,49.79296875,2374.884375 
20,80.140625,3942.37578125 
30,104.21171875,5238.86796875 
40,142.80390625,7422.32734375 
50,168.45859375,8953.47890625 
60,213.43359375,11776.5046875 
70,261.54140625,15003.13515625 
80,306.47734375,18206.47890625 
90,354.60390625,21838.86796875 
100,409.18046875,26210.471875 
110,462.11875,30710.90078125 
120,510.096875,35025.64765625 
130,580.5921875,41727.08828125 
140,649.50546875,48716.99765625 
150,710.0171875,55247.17890625 
160,761.94609375,61018.83984375 
170,829.9796875,69302.72421875 
180,910.8640625,79094.2765625 
190,968.6671875,86651.3046875 
200,1042.57578125,97551.05546875 
210,1118.565625,109348.33828125 
220,1200.2,120974.0390625 
230,1268.0078125,132980.4625 
238,1330.97421875,140358.8640625 
