time,size_sent,size_rcv 
0,30.47265625,1428.53125 
10,19.3203125,946.353125 
20,30.34765625,1567.49140625 
30,24.07109375,1296.4921875 
40,38.5921875,2183.459375 
50,25.6546875,1531.1515625 
60,44.975,2823.02578125 
70,48.1078125,3226.63046875 
80,44.9359375,3203.34375 
90,48.1265625,3632.3890625 
100,54.5765625,4371.60390625 
110,52.93828125,4500.42890625 
120,47.978125,4314.746875 
130,70.4953125,6701.440625 
140,68.91328125,6989.909375 
150,60.51171875,6530.18125 
160,51.92890625,5771.6609375 
170,68.03359375,8283.884375 
180,80.884375,9791.55234375 
190,57.803125,7557.028125 
200,73.90859375,10899.75078125 
210,75.98984375,11797.2828125 
220,81.634375,11625.70078125 
230,67.8078125,12006.4234375 
238,62.96640625,7378.4015625 
