time,page 
0,110.60018421052627 
10,79.51070833333331 
20,75.0556315789474 
30,93.79753333333333 
40,85.30091666666665 
50,91.84437500000001 
60,96.22553571428573 
70,107.13841666666666 
80,96.82842857142862 
90,135.59526666666673 
100,132.95738235294112 
110,158.68324242424245 
120,138.74658333333335 
130,193.51588636363633 
140,177.86001162790694 
150,282.9619199999999 
160,160.56478461538458 
170,477.01781250000005 
180,484.81837735849064 
190,248.3864027777778 
200,829.4144285714283 
210,3540.6588390804586 
220,1980.9630446428575 
230,2839.820906666667 
238,4109.179723404256 
