time,connect,request 
0,13.762,329.346 
10,13.762,329.346 
20,13.762,329.346 
30,13.762,329.346 
40,13.762,329.346 
50,13.762,329.346 
60,13.762,329.346 
70,13.762,329.346 
80,13.762,329.346 
90,13.762,482.132 
100,13.762,482.132 
110,13.762,482.132 
120,13.762,482.132 
130,13.762,618.365 
140,13.762,618.365 
150,13.762,733.78 
160,13.762,733.78 
170,13.762,1211.997 
180,26.073,1211.997 
190,26.073,1211.997 
200,26.073,1367.498 
210,26.073,2704.36 
220,26.073,2704.36 
230,26.073,3115.497 
238,26.073,4140.568 
