time,cpu@tsung_controller@ip-172-31-36-11 
0,0.32943886988823173 
10,0.9481037924151697 
20,0.6487025948103792 
30,0.897308075772682 
40,0.6986027944111777 
50,1.3439522150323544 
60,0.3996003996003996 
70,1.097804391217565 
80,1.299350324837581 
90,0.7996001999000499 
100,1.3965087281795512 
110,1.045816733067729 
120,0.8 
130,1.844466600199402 
140,1.6991504247876061 
150,2.3928215353938187 
160,2.29426433915212 
170,2.1934197407776668 
180,2.3464802795806294 
190,2.0989505247376314 
200,2.3046092184368736 
210,2.6865671641791042 
220,2.3928215353938187 
230,2.2977022977022976 
235,2.3940149625935163 
