time,size_sent,size_rcv 
0,28.915625,1351.1453125 
10,24.09609375,1184.390625 
20,36.99765625,1916.01875 
30,28.7546875,1588.13359375 
40,54.565625,3203.97265625 
50,19.1640625,1196.1 
60,41.6515625,2706.7953125 
70,72.12890625,5042.684375 
80,37.09296875,2768.69765625 
90,52.81640625,4184.09765625 
100,36.91015625,3067.34375 
110,41.6828125,3618.64375 
120,57.7859375,5269.71953125 
130,64.1015625,6206.3703125 
140,59.38671875,6069.18671875 
150,68.85546875,7458.78984375 
160,51.93203125,6011.784375 
170,56.05703125,7023.77265625 
180,82.7390625,10721.38203125 
190,91.7109375,11687.153125 
200,70.8953125,10121.490625 
210,78.36640625,11895.58671875 
220,78.07109375,11647.2828125 
230,74.465625,12080.91015625 
235,20.51796875,2175.1640625 
