time,size_sent,size_rcv 
0,28.915625,1351.1453125 
10,53.01171875,2535.5359375 
20,90.009375,4451.5546875 
30,118.7640625,6039.68828125 
40,173.3296875,9243.6609375 
50,192.49375,10439.7609375 
60,234.1453125,13146.55625 
70,306.27421875,18189.240625 
80,343.3671875,20957.93828125 
90,396.18359375,25142.0359375 
100,433.09375,28209.3796875 
110,474.7765625,31828.0234375 
120,532.5625,37097.74296875 
130,596.6640625,43304.11328125 
140,656.05078125,49373.3 
150,724.90625,56832.08984375 
160,776.83828125,62843.87421875 
170,832.8953125,69867.646875 
180,915.634375,80589.02890625 
190,1007.3453125,92276.18203125 
200,1078.240625,102397.67265625 
210,1156.60703125,114293.259375 
220,1234.678125,125940.5421875 
230,1309.14375,138021.45234375 
235,1329.66171875,140196.61640625 
