time,match 
0,72 
10,132 
20,224 
30,296 
40,432 
50,480 
60,584 
70,764 
80,856 
90,988 
100,1080 
110,1184 
120,1328 
130,1488 
140,1636 
150,1808 
160,1937 
170,2075 
180,2272 
190,2504 
200,2683 
210,2871 
220,3069 
230,3255 
235,3316 
