time,match 
0,7.2 
10,6 
20,9.2 
30,7.2 
40,13.6 
50,4.8 
60,10.4 
70,18 
80,9.2 
90,13.2 
100,9.2 
110,10.4 
120,14.4 
130,16 
140,14.8 
150,17.2 
160,12.9 
170,13.8 
180,19.7 
190,23.2 
200,17.9 
210,18.8 
220,19.8 
230,18.6 
235,6.1 
