time,size_sent,size_rcv 
0,60.86875,2937.0984375 
10,148.6171875,7862.2640625 
20,226.06953125,12591.04609375 
30,318.99765625,19117.03984375 
40,417.73984375,26954.22734375 
50,480.99375,32351.53984375 
54,480.99375,32351.53984375 
