time,session 
0,290.23493333333334 
10,346.8461052631579 
20,192.8906315789474 
30,236.2770416666667 
40,206.6805789473684 
50,195.82129166666667 
60,216.92792592592593 
70,202.48046511627908 
80,275.2692142857143 
90,321.00049999999993 
100,267.87485714285714 
110,388.4106799999999 
120,326.86779999999993 
130,459.4778181818181 
140,426.5518653846154 
150,453.6002195121951 
160,519.621204545454 
170,349.6212068965517 
180,1297.4962500000001 
190,4451.200098360653 
200,3296.4160217391295 
210,4490.669207547167 
220,4776.974577777779 
230,6440.386519999997 
234,7410.470952380954 
