time,match 
0,60 
10,136 
20,212 
30,308 
40,376 
50,480 
60,588 
70,759 
80,868 
90,1006 
100,1096 
110,1200 
120,1312 
130,1496 
140,1697 
150,1868 
160,2044 
170,2160 
180,2279 
190,2520 
200,2705 
210,2915 
220,3093 
230,3224 
234,3360 
