time,connect,request 
0,18.553,334.458 
10,18.553,625.273 
20,18.553,625.273 
30,18.553,625.273 
40,18.553,625.273 
50,18.553,625.273 
60,21.184,625.273 
70,21.184,625.273 
80,21.184,625.273 
90,21.184,625.273 
100,21.184,625.273 
110,21.184,648.978 
120,21.494,648.978 
130,21.494,809.395 
140,21.494,809.395 
150,21.494,1037.863 
160,21.494,1037.863 
170,21.494,1037.863 
180,21.606,3850.187 
190,21.606,5132.234 
200,21.606,5132.234 
210,21.606,5132.234 
220,21.606,5479.353 
230,21.606,7162.346 
234,21.606,7617.397 
