time,page 
0,143.90773333333337 
10,172.3137105263158 
20,95.3428947368421 
30,117.03750000000001 
40,102.68497058823529 
50,96.94603846153849 
60,107.35905555555556 
70,101.0215882352941 
80,135.75418181818185 
90,161.06170588235298 
100,132.03665217391298 
110,190.1911538461538 
120,163.67514285714284 
130,224.9111413043478 
140,212.93081000000012 
150,224.2011744186046 
160,258.70882954545453 
170,173.71365517241378 
180,647.6091071428569 
190,2229.369544715447 
200,1671.7943152173912 
210,2238.3028867924522 
220,2411.1373483146094 
230,3905.4665573770494 
234,3146.112219178082 
