time,size_sent,size_rcv 
0,24.05546875,1120.52421875 
10,30.37890625,1491.340625 
20,30.44140625,1579.2671875 
30,38.4953125,2114.99921875 
40,27.35546875,1580.74609375 
50,41.5765625,2548.7109375 
60,43.29921875,2812.88203125 
70,68.93828125,4829.71015625 
80,43.31640625,3253.1 
90,56.31015625,4466.97265625 
100,35.246875,2959.61953125 
110,41.603125,3636.2796875 
120,45.08125,4095.80078125 
130,73.8078125,7119.684375 
140,80.71015625,8462.9546875 
150,68.3453125,7448.6046875 
160,70.5671875,8234.028125 
170,46.56171875,5681.22890625 
180,49.47421875,7001.2125 
190,96.0265625,11974.24765625 
200,74.83203125,10259.1484375 
210,83.98984375,11892.4328125 
220,71.7515625,10989.3390625 
230,56.021875,10330.42265625 
234,48.7234375,6548.4328125 
