time,page 
0,111.57928454240756 
10,171.0733838384643 
20,55.56125560410517 
30,93.19803619309796 
40,78.47135172768292 
50,70.37415761894023 
60,78.85904934553864 
70,73.5152871590495 
80,119.15584912467153 
90,152.2975090357742 
100,108.31084136615428 
110,193.67298065001464 
120,160.10901934378836 
130,236.58158110141926 
140,198.27916914339212 
150,247.7280827105055 
160,280.20473693826347 
170,160.58130930064272 
180,815.4749986830786 
190,2048.3990924921245 
200,1608.7916343219874 
210,2065.574444352984 
220,2176.7523710043133 
230,2681.899279229062 
234,3187.257092645268 
