time,match 
0,6 
10,7.6 
20,7.6 
30,9.6 
40,6.8 
50,10.4 
60,10.8 
70,17.1 
80,10.9 
90,13.8 
100,9 
110,10.4 
120,11.2 
130,18.4 
140,20.1 
150,17.1 
160,17.6 
170,11.6 
180,11.9 
190,24.1 
200,18.5 
210,21 
220,17.8 
230,13.1 
234,13.6 
