time,size_sent,size_rcv 
0,24.05546875,1120.52421875 
10,54.434375,2611.86484375 
20,84.87578125,4191.13203125 
30,123.37109375,6306.13125 
40,150.7265625,7886.87734375 
50,192.303125,10435.58828125 
60,235.60234375,13248.4703125 
70,304.540625,18078.18046875 
80,347.85703125,21331.28046875 
90,404.1671875,25798.253125 
100,439.4140625,28757.87265625 
110,481.0171875,32394.15234375 
120,526.0984375,36489.953125 
130,599.90625,43609.6375 
140,680.61640625,52072.5921875 
150,748.96171875,59521.196875 
160,819.52890625,67755.225 
170,866.090625,73436.45390625 
180,915.56484375,80437.66640625 
190,1011.59140625,92411.9140625 
200,1086.4234375,102671.0625 
210,1170.41328125,114563.4953125 
220,1242.16484375,125552.834375 
230,1298.18671875,135883.25703125 
234,1346.91015625,142431.68984375 
